#separator:Pipe          
#notetype:Latin Conjugation
#deck column:7
#columns:Verb|Conjugated Verb|Conjugation Meaning|Greek Sentence|English Sentence|Morphology|Deck
εἰμί|ἦμεν|we were|<v>ἦμεν</v> ἐν τῇ πόλει.|We were in the city.|1P pl. impf. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἦτε|you were|<v>ἦτε</v> ἀγαθοί.|You were good.|2P pl. impf. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἦσαν|they were|<v>ἦσαν</v> σοφοί.|They were wise.|3P pl. impf. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἔσομαι|I will be|<v>ἔσομαι</v> βασιλεύς.|I will be king.|1P sg. fut. ind. mid.|Greek Conjugation::1. εἰμί
εἰμί|ἔσει|you will be|<v>ἔσει</v> διδάσκαλος.|You will be a teacher.|2P sg. fut. ind. mid.|Greek Conjugation::1. εἰμί
εἰμί|ἔσται|he/she/it will be|<v>ἔσται</v> χαλεπόν.|It will be difficult.|3P sg. fut. ind. mid.|Greek Conjugation::1. εἰμί
εἰμί|ἔσεσθον|you two will be|<v>ἔσεσθον</v> στρατηγώ.|You two will be generals.|2P dual. fut. ind. mid.|Greek Conjugation::1. εἰμί
εἰμί|ἔσεσθον|they two will be|<v>ἔσεσθον</v> ἐχθρώ.|They two will be enemies.|3P dual. fut. ind. mid.|Greek Conjugation::1. εἰμί
εἰμί|ἐσόμεθα|we will be|<v>ἐσόμεθα</v> ἕτοιμοι.|We will be ready.|1P pl. fut. ind. mid.|Greek Conjugation::1. εἰμί
εἰμί|ἔσεσθε|you will be|<v>ἔσεσθε</v> εὐδαίμονες.|You will be happy.|2P pl. fut. ind. mid.|Greek Conjugation::1. εἰμί
εἰμί|ἔσονται|they will be|<v>ἔσονται</v> πλούσιοι.|They will be rich.|3P pl. fut. ind. mid.|Greek Conjugation::1. εἰμί
εἰμί|εἰμί|I am|ὦ ἐν τῷ οἴκῳ|<v>ὦ</v> in the house|1P sg. pres. act. subj.|Greek Conjugation::1. εἰμί
εἰμί|ᾖς|you are|ἐὰν <v>ᾖς</v> σοφός|if you are wise|2P sg. pres. act. subj.|Greek Conjugation::1. εἰμί
εἰμί|ᾖ|he/she/it is|ἐὰν <v>ᾖ</v> ἀληθές|if it is true|3P sg. pres. act. subj.|Greek Conjugation::1. εἰμί
εἰμί|ὦμεν|we are|ἐὰν <v>ὦμεν</v> φίλοι|if we are friends|1P pl. pres. act. subj.|Greek Conjugation::1. εἰμί
εἰμί|ἦτε|you are|ἐὰν <v>ἦτε</v> ἕτοιμοι|if you are ready|2P pl. pres. act. subj.|Greek Conjugation::1. εἰμί
εἰμί|ὦσι(ν)|they are|ἐὰν <v>ὦσι</v> δίκαιοι|if they are just|3P pl. pres. act. subj.|Greek Conjugation::1. εἰμί
εἰμί|ἦτον|you two are|ἐὰν <v>ἦτον</v> ἀδελφώ|if you two are brothers|2P dual. pres. act. subj.|Greek Conjugation::1. εἰμί
εἰμί|ἦτον|they two are|ἐὰν <v>ἦτον</v> καλώ|if they two are beautiful|3P dual. pres. act. subj.|Greek Conjugation::1. εἰμί
εἰμί|εἰμί|be|<v>ἴσθι</v> ἀγαθός.|Be good!|2P sg. pres. act. imp.|Greek Conjugation::1. εἰμί
εἰμί|ἔστω|be|<v>ἔστω</v> φῶς.|Let there be light!|3P sg. pres. act. imp.|Greek Conjugation::1. εἰμί
εἰμί|ἔστε|be|<v>ἔστε</v> ἕτοιμοι.|Be ready! (plural)|2P pl. pres. act. imp.|Greek Conjugation::1. εἰμί
εἰμί|ἔστων|be|<v>ἔστων</v> οἱ ἄνδρες δίκαιοι.|Let the men be just!|3P pl. pres. act. imp.|Greek Conjugation::1. εἰμί
εἰμί|ἔστον|be|<v>ἔστον</v> φίλω.|Be friends! (dual)|2P dual. pres. act. imp.|Greek Conjugation::1. εἰμί
εἰμί|ἔστων|be|<v>ἔστων</v> τὼ ἵππω λευκώ.|Let the two horses be white!|3P dual. pres. act. imp.|Greek Conjugation::1. εἰμί
εἰμί|εἶναι|to be|<v>εἶναι</v> ἄνθρωπον χαλεπόν ἐστιν.|To be human is difficult.|__ __ pres. act. inf.|Greek Conjugation::1. εἰμί
εἰμί|ἔσεσθαι|to be going to be|μέλλει <v>ἔσεσθαι</v> βασιλεύς.|He is about to be king.|__ __ fut. mid. inf.|Greek Conjugation::1. εἰμί
εἰμί|ὤν|being|<v>ὤν</v> ἄνθρωπος ἐστιν.|Being a person, he is.|__ __ pres. __ act. part. masc. nom. sg.|Greek Conjugation::1. εἰμί
εἰμί|οὖσα|being|<v>οὖσα</v> γυνὴ καλή ἐστιν.|Being a woman, she is beautiful.|__ __ pres. __ act. part. fem. nom. sg.|Greek Conjugation::1. εἰμί
εἰμί|ὄν|being|τὸ <v>ὄν</v> ἀληθές ἐστιν.|The being is true.|__ __ pres. __ act. part. neut. nom. sg.|Greek Conjugation::1. εἰμί
εἰμί|ὄντος|being|τοῦ <v>ὄντος</v> ἀνθρώπου.|Of the being person.|__ __ pres. __ act. part. masc. gen. sg.|Greek Conjugation::1. εἰμί
εἰμί|οὔσης|being|τῆς <v>οὔσης</v> γυναικός.|Of the being woman.|__ __ pres. __ act. part. fem. gen. sg.|Greek Conjugation::1. εἰμί
εἰμί|ὄντος|being|τοῦ <v>ὄντος</v> παιδίου.|Of the being child.|__ __ pres. __ act. part. neut. gen. sg.|Greek Conjugation::1. εἰμί
εἰμί|ὄντι|being|τῷ <v>ὄντι</v> ἀνθρώπῳ.|To the being person.|__ __ pres. __ act. part. masc. dat. sg.|Greek Conjugation::1. εἰμί
εἰμί|οὔσῃ|being|τῇ <v>οὔσῃ</v> γυναικί.|To the being woman.|__ __ pres. __ act. part. fem. dat. sg.|Greek Conjugation::1. εἰμί
εἰμί|ὄντι|being|τῷ <v>ὄντι</v> παιδίῳ.|To the being child.|__ __ pres. __ act. part. neut. dat. sg.|Greek Conjugation::1. εἰμί
εἰμί|ὄντα|being|τὸν <v>ὄντα</v> ἄνθρωπον.|The being person.|__ __ pres. __ act. part. masc. acc. sg.|Greek Conjugation::1. εἰμί
εἰμί|οὖσαν|being|τὴν <v>οὖσαν</v> γυναῖκα.|The being woman.|__ __ pres. __ act. part. fem. acc. sg.|Greek Conjugation::1. εἰμί
εἰμί|ὄν|being|τὸ <v>ὄν</v> παιδίον.|The being child.|__ __ pres. __ act. part. neut. acc. sg.|Greek Conjugation::1. εἰμί
εἰμί|ὄντες|being|οἱ <v>ὄντες</v> ἄνθρωποι.|The being people.|__ __ pres. __ act. part. masc. nom. pl.|Greek Conjugation::1. εἰμί
εἰμί|οὖσαι|being|αἱ <v>οὖσαι</v> γυναῖκες.|The being women.|__ __ pres. __ act. part. fem. nom. pl.|Greek Conjugation::1. εἰμί
εἰμί|ὄντα|being|τὰ <v>ὄντα</v> παιδία.|The being children.|__ __ pres. __ act. part. neut. nom. pl.|Greek Conjugation::1. εἰμί
εἰμί|ὄντων|being|τῶν <v>ὄντων</v> ἀνθρώπων.|Of the being people.|__ __ pres. __ act. part. masc. gen. pl.|Greek Conjugation::1. εἰμί
εἰμί|οὐσῶν|being|τῶν <v>οὐσῶν</v> γυναικῶν.|Of the being women.|__ __ pres. __ act. part. fem. gen. pl.|Greek Conjugation::1. εἰμί
εἰμί|ὄντων|being|τῶν <v>ὄντων</v> παιδίων.|Of the being children.|__ __ pres. __ act. part. neut. gen. pl.|Greek Conjugation::1. εἰμί
εἰμί|οὖσι|being|τοῖς <v>οὖσι</v> ἀνθρώποις.|To the being people.|__ __ pres. __ act. part. masc. dat. pl.|Greek Conjugation::1. εἰμί
εἰμί|οὔσαις|being|ταῖς <v>οὔσαις</v> γυναιξί.|To the being women.|__ __ pres. __ act. part. fem. dat. pl.|Greek Conjugation::1. εἰμί
εἰμί|οὖσι|being|τοῖς <v>οὖσι</v> παιδίοις.|To the being children.|__ __ pres. __ act. part. neut. dat. pl.|Greek Conjugation::1. εἰμί
εἰμί|ὄντας|being|τοὺς <v>ὄντας</v> ἀνθρώπους.|The being people.|__ __ pres. __ act. part. masc. acc. pl.|Greek Conjugation::1. εἰμί
εἰμί|οὔσας|being|τὰς <v>οὔσας</v> γυναῖκας.|The being women.|__ __ pres. __ act. part. fem. acc. pl.|Greek Conjugation::1. εἰμί
εἰμί|ὄντα|being|τὰ <v>ὄντα</v> παιδία.|The being children.|__ __ pres. __ act. part. neut. acc. pl.|Greek Conjugation::1. εἰμί
εἰμί|ὄντε|being|τὼ <v>ὄντε</v> ἀνθρώπω.|The two being people.|__ __ pres. __ act. part. masc. nom. dual|Greek Conjugation::1. εἰμί
εἰμί|οὔσα|being|τὼ <v>οὔσα</v> γυναῖκε.|The two being women.|__ __ pres. __ act. part. fem. nom. dual|Greek Conjugation::1. εἰμί
εἰμί|ὄντε|being|τὼ <v>ὄντε</v> παιδίω.|The two being children.|__ __ pres. __ act. part. neut. nom. dual|Greek Conjugation::1. εἰμί
εἰμί|ὄντοιν|being|τοῖν <v>ὄντοιν</v> ἀνθρώποιν.|Of/to the two being people.|__ __ pres. __ act. part. masc. gen/dat. dual|Greek Conjugation::1. εἰμί
εἰμί|οὔσαιν|being|ταῖν <v>οὔσαιν</v> γυναικοῖν.|Of/to the two being women.|__ __ pres. __ act. part. fem. gen/dat. dual|Greek Conjugation::1. εἰμί
εἰμί|ὄντοιν|being|τοῖν <v>ὄντοιν</v> παιδίοιν.|Of/to the two being children.|__ __ pres. __ act. part. neut. gen/dat. dual|Greek Conjugation::1. εἰμί
εἰμί|ὄντε|being|τὼ <v>ὄντε</v> ἀνθρώπω.|The two being people.|__ __ pres. __ act. part. masc. acc. dual|Greek Conjugation::1. εἰμί
εἰμί|οὔσα|being|τὼ <v>οὔσα</v> γυναῖκε.|The two being women.|__ __ pres. __ act. part. fem. acc. dual|Greek Conjugation::1. εἰμί
εἰμί|ὄντε|being|τὼ <v>ὄντε</v> παιδίω.|The two being children.|__ __ pres. __ act. part. neut. acc. dual|Greek Conjugation::1. εἰμί
εἰμί|ἐσόμενος|about to be|ὁ <v>ἐσόμενος</v> βασιλεύς.|The one who will be king.|__ __ fut. __ mid. part. masc. nom. sg.|Greek Conjugation::1. εἰμί
εἰμί|ἐσομένη|about to be|ἡ <v>ἐσομένη</v> βασίλεια.|The one who will be queen.|__ __ fut. __ mid. part. fem. nom. sg.|Greek Conjugation::1. εἰμί
εἰμί|ἐσόμενον|about to be|τὸ <v>ἐσόμενον</v> τέκνον.|The child who will be.|__ __ fut. __ mid. part. neut. nom. sg.|Greek Conjugation::1. εἰμί
ἔχω|ἔχω|I have/hold|<v>ἔχω</v> τὸ βιβλίον.|I have the book.|1P sg. pres. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔχεις|you have/hold|<v>ἔχεις</v> τὴν σοφίαν.|You have wisdom.|2P sg. pres. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔχει|he/she/it has/holds|<v>ἔχει</v> τὸν λόγον.|He has the word.|3P sg. pres. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔχομεν|we have/hold|<v>ἔχομεν</v> τὴν ἀλήθειαν.|We have the truth.|1P pl. pres. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔχετε|you have/hold|<v>ἔχετε</v> τὴν δύναμιν.|You have the power.|2P pl. pres. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔχουσι(ν)|they have/hold|<v>ἔχουσι</v> τὰ ὅπλα.|They have the weapons.|3P pl. pres. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔχετον|you both have/hold|<v>ἔχετον</v> τὴν τιμήν.|You both have the honor.|2P dual. pres. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔχετον|they both have/hold|<v>ἔχετον</v> τὸν πόνον.|They both have the labor.|3P dual. pres. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|εἶχον|I was having/holding|<v>εἶχον</v> τὸν φόβον.|I was having fear.|1P sg. impf. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|εἶχες|you were having/holding|<v>εἶχες</v> τὴν ἐλπίδα.|You were having hope.|2P sg. impf. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|εἶχε(ν)|he/she/it was having/holding|<v>εἶχε</v> τὴν χάριν.|He was having grace.|3P sg. impf. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|εἴχομεν|we were having/holding|<v>εἴχομεν</v> τὴν εἰρήνην.|We were having peace.|1P pl. impf. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|εἴχετε|you were having/holding|<v>εἴχετε</v> τὸν χρόνον.|You were having time.|2P pl. impf. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|εἶχον|they were having/holding|<v>εἶχον</v> τὴν γνώμην.|They were having judgment.|3P pl. impf. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|εἰχέτην|they both were having/holding|<v>εἰχέτην</v> τὴν φιλίαν.|They both were having friendship.|3P dual. impf. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἕξω|I will have/hold|<v>ἕξω</v> τὴν νίκην.|I will have victory.|1P sg. fut. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἕξεις|you will have/hold|<v>ἕξεις</v> τὴν δόξαν.|You will have glory.|2P sg. fut. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἕξει|he/she/it will have/hold|<v>ἕξει</v> τὴν ἀρχήν.|He will have power.|3P sg. fut. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἕξομεν|we will have/hold|<v>ἕξομεν</v> τὴν χαράν.|We will have joy.|1P pl. fut. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἕξετε|you will have/hold|<v>ἕξετε</v> τὴν σωτηρίαν.|You will have salvation.|2P pl. fut. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἕξουσι(ν)|they will have/hold|<v>ἕξουσι</v> τὴν εὐδαιμονίαν.|They will have happiness.|3P pl. fut. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἕξετον|you both will have/hold|<v>ἕξετον</v> τὴν ἀρετήν.|You both will have virtue.|2P dual. fut. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἕξετον|they both will have/hold|<v>ἕξετον</v> τὴν σοφίαν.|They both will have wisdom.|3P dual. fut. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔσχον|I had/held|<v>ἔσχον</v> τὴν ἐξουσίαν.|I had authority.|1P sg. aor. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔσχες|you had/held|<v>ἔσχες</v> τὴν βοήθειαν.|You had help.|2P sg. aor. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔσχε(ν)|he/she/it had/held|<v>ἔσχε</v> τὴν δύναμιν.|He had power.|3P sg. aor. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔσχομεν|we had/held|<v>ἔσχομεν</v> τὴν πίστιν.|We had faith.|1P pl. aor. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔσχετε|you had/held|<v>ἔσχετε</v> τὴν ἀγάπην.|You had love.|2P pl. aor. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔσχον|they had/held|<v>ἔσχον</v> τὴν εἰρήνην.|They had peace.|3P pl. aor. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἐσχέτην|they both had/held|<v>ἐσχέτην</v> τὴν φιλίαν.|They both had friendship.|3P dual. aor. act. ind.|Greek Conjugation::2. ἔχω
ἔχω|ἔχω|I have/hold|<v>ἔχω</v> τὸ βιβλίον.|I may have the book.|1P sg. pres. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχῃς|you have/hold|<v>ἔχῃς</v> τὴν σοφίαν.|You may have wisdom.|2P sg. pres. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχῃ|he/she/it has/holds|<v>ἔχῃ</v> τὸ δῶρον.|He may have the gift.|3P sg. pres. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχωμεν|we have/hold|<v>ἔχωμεν</v> τὴν εἰρήνην.|We may have peace.|1P pl. pres. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχητε|you have/hold|<v>ἔχητε</v> τὴν ἀρετήν.|You may have virtue.|2P pl. pres. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχωσι(ν)|they have/hold|<v>ἔχωσι</v> τὰ ὅπλα.|They may have the weapons.|3P pl. pres. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχητον|you both have/hold|<v>ἔχητον</v> τὴν τιμήν.|You both may have honor.|2P dual. pres. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχητον|they both have/hold|<v>ἔχητον</v> τὸν πλοῦτον.|They both may have wealth.|3P dual. pres. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχωμαι|I have/hold for myself|<v>ἔχωμαι</v> τοῦ νόμου.|I may hold to the law.|1P sg. pres. mid/pass. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχῃ|you have/hold for yourself|<v>ἔχῃ</v> τῆς ἀληθείας.|You may hold to the truth.|2P sg. pres. mid/pass. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχηται|he/she/it has/holds for self|<v>ἔχηται</v> τῆς ἐλπίδος.|He may hold to hope.|3P sg. pres. mid/pass. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἐχώμεθα|we have/hold for ourselves|<v>ἐχώμεθα</v> τῆς πίστεως.|We may hold to faith.|1P pl. pres. mid/pass. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχησθε|you have/hold for yourselves|<v>ἔχησθε</v> τῆς ἀρετῆς.|You may hold to virtue.|2P pl. pres. mid/pass. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχωνται|they have/hold for themselves|<v>ἔχωνται</v> τῆς δικαιοσύνης.|They may hold to justice.|3P pl. pres. mid/pass. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχησθον|you both have/hold for yourselves|<v>ἔχησθον</v> τῆς φιλίας.|You both may hold to friendship.|2P dual. pres. mid/pass. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχησθον|they both have/hold for themselves|<v>ἔχησθον</v> τῆς εἰρήνης.|They both may hold to peace.|3P dual. pres. mid/pass. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῶ|I have/hold|<v>σχῶ</v> τὴν ἐξουσίαν.|I may get the authority.|1P sg. aor. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῇς|you have/hold|<v>σχῇς</v> τὴν νίκην.|You may get the victory.|2P sg. aor. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῇ|he/she/it has/holds|<v>σχῇ</v> τὸ κράτος.|He may get the power.|3P sg. aor. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῶμεν|we have/hold|<v>σχῶμεν</v> τὴν γνώμην.|We may get the opinion.|1P pl. aor. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῆτε|you have/hold|<v>σχῆτε</v> τὴν δόξαν.|You may get the glory.|2P pl. aor. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῶσι(ν)|they have/hold|<v>σχῶσι</v> τὴν χάριν.|They may get the grace.|3P pl. aor. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῆτον|you both have/hold|<v>σχῆτον</v> τὴν ἰσχύν.|You both may get strength.|2P dual. aor. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῆτον|they both have/hold|<v>σχῆτον</v> τὴν δύναμιν.|They both may get power.|3P dual. aor. act. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῶμαι|I have/hold for myself|<v>σχῶμαι</v> τοῦ ἔργου.|I may take hold of the work.|1P sg. aor. mid. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῇ|you have/hold for yourself|<v>σχῇ</v> τῆς εὐδαιμονίας.|You may take hold of happiness.|2P sg. aor. mid. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῆται|he/she/it has/holds for self|<v>σχῆται</v> τῆς σοφίας.|He may take hold of wisdom.|3P sg. aor. mid. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχώμεθα|we have/hold for ourselves|<v>σχώμεθα</v> τῆς ἀρετῆς.|We may take hold of virtue.|1P pl. aor. mid. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῆσθε|you have/hold for yourselves|<v>σχῆσθε</v> τῆς τύχης.|You may take hold of fortune.|2P pl. aor. mid. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῶνται|they have/hold for themselves|<v>σχῶνται</v> τῆς ἐλευθερίας.|They may take hold of freedom.|3P pl. aor. mid. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῆσθον|you both have/hold for yourselves|<v>σχῆσθον</v> τῆς τιμῆς.|You both may take hold of honor.|2P dual. aor. mid. subj.|Greek Conjugation::2. ἔχω
ἔχω|σχῆσθον|they both have/hold for themselves|<v>σχῆσθον</v> τῆς εὐτυχίας.|They both may take hold of good fortune.|3P dual. aor. mid. subj.|Greek Conjugation::2. ἔχω
ἔχω|ἔχε|have!|<v>ἔχε</v> τὸν νοῦν.|Have sense!|2P sg. pres. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἐχέτω|let him/her have|<v>ἐχέτω</v> τὴν ἐξουσίαν.|Let him have the authority.|3P sg. pres. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἔχετε|have! (plural)|<v>ἔχετε</v> τὴν εἰρήνην.|Have peace!|2P pl. pres. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἐχέτων|let them have|<v>ἐχέτων</v> τὴν τιμήν.|Let them have the honor.|3P pl. pres. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἔχετον|have! (dual)|<v>ἔχετον</v> τὴν φιλίαν.|You two have friendship!|2P dual. pres. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἐχέτων|let them both have|<v>ἐχέτων</v> τὸ γέρας.|Let them both have the prize.|3P dual. pres. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἔχου|have yourself!|<v>ἔχου</v> καλῶς.|Hold yourself well!|2P sg. pres. mid/pass. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἐχέσθω|let him/her have himself/herself|<v>ἐχέσθω</v> τῆς ἀρετῆς.|Let him hold to virtue.|3P sg. pres. mid/pass. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἔχεσθε|have yourselves!|<v>ἔχεσθε</v> τῆς σωφροσύνης.|Hold yourselves to temperance!|2P pl. pres. mid/pass. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἐχέσθων|let them have themselves|<v>ἐχέσθων</v> τῆς δικαιοσύνης.|Let them hold to justice.|3P pl. pres. mid/pass. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἔχεσθον|have yourselves! (dual)|<v>ἔχεσθον</v> τῆς ἀληθείας.|You two hold to the truth!|2P dual. pres. mid/pass. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἐχέσθων|let them both have themselves|<v>ἐχέσθων</v> τῆς σοφίας.|Let them both hold to wisdom.|3P dual. pres. mid/pass. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχές|have! (aorist)|<v>σχές</v> τὴν ὀργήν.|Hold back your anger!|2P sg. aor. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχέτω|let him/her have (aorist)|<v>σχέτω</v> τὸν φόβον.|Let him hold his fear.|3P sg. aor. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχέτε|have! (aorist plural)|<v>σχέτε</v> τὴν γλῶσσαν.|Hold your tongues!|2P pl. aor. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχέτων|let them have (aorist)|<v>σχέτων</v> τὴν εἰρήνην.|Let them maintain peace.|3P pl. aor. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχέτον|have! (aorist dual)|<v>σχέτον</v> τὴν ἡσυχίαν.|You two keep quiet!|2P dual. aor. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχέτων|let them both have (aorist)|<v>σχέτων</v> τὸ θάρρος.|Let them both maintain courage.|3P dual. aor. act. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχοῦ|have yourself! (aorist)|<v>σχοῦ</v> τῆς εὐσεβείας.|Hold yourself to piety!|2P sg. aor. mid. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχέσθω|let him/her have himself/herself (aorist)|<v>σχέσθω</v> τῆς ὕβρεως.|Let him restrain himself from hubris.|3P sg. aor. mid. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχέσθε|have yourselves! (aorist plural)|<v>σχέσθε</v> τῆς μάχης.|Hold yourselves back from battle!|2P pl. aor. mid. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχέσθων|let them have themselves (aorist)|<v>σχέσθων</v> τῆς κακίας.|Let them abstain from evil.|3P pl. aor. mid. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχέσθον|have yourselves! (aorist dual)|<v>σχέσθον</v> τοῦ φθόνου.|You two abstain from envy!|2P dual. aor. mid. imp.|Greek Conjugation::2. ἔχω
ἔχω|σχέσθων|let them both have themselves (aorist)|<v>σχέσθων</v> τῆς ἔριδος.|Let them both refrain from strife.|3P dual. aor. mid. imp.|Greek Conjugation::2. ἔχω
ἔχω|ἔχειν|to have/hold|τὸ <v>ἔχειν</v> φίλους καλόν ἐστιν.|To have friends is good.|__ __ pres. act. inf.|Greek Conjugation::2. ἔχω
ἔχω|ἕξειν|to be about to have|νομίζω αὐτὸν χρήματα <v>ἕξειν</v>.|I think he will have money.|__ __ fut. act. inf.|Greek Conjugation::2. ἔχω
