#separator:Pipe          
#notetype:Latin Conjugation
#deck column:7
#columns:Verb|Conjugated Verb|Conjugation Meaning|Latin Sentence|English Sentence|Morphology|Deck
sum|fuerīs|you may have been|<v>fuerīs</v> prudens.|You may have been prudent.|2P sg. perf. act. subj.|Conjugation::sum
sum|fuerit|he/she/it may have been|causa <v>fuerit</v> iusta.|The cause may have been just.|3P sg. perf. act. subj.|Conjugation::sum
sum|fuerīmus|we may have been|<v>fuerīmus</v> audācēs.|We may have been bold.|1P pl. perf. act. subj.|Conjugation::sum
sum|fuerītis|you all may have been|<v>fuerītis</v> cautī.|You all may have been cautious.|2P pl. perf. act. subj.|Conjugation::sum
sum|fuerint|they may have been|verba <v>fuerint</v> vera.|The words may have been true.|3P pl. perf. act. subj.|Conjugation::sum
sum|fuissem|I would have been|<v>fuissem</v> beātus.|I would have been blessed.|1P sg. plup. act. subj.|Conjugation::sum
sum|fuissēs|you would have been|<v>fuissēs</v> victor.|You would have been the victor.|2P sg. plup. act. subj.|Conjugation::sum
sum|fuisset|he/she/it would have been|bellum <v>fuisset</v> longum.|The war would have been long.|3P sg. plup. act. subj.|Conjugation::sum
sum|fuissēmus|we would have been|<v>fuissēmus</v> parātī.|We would have been prepared.|1P pl. plup. act. subj.|Conjugation::sum
sum|fuissētis|you all would have been|<v>fuissētis</v> salvī.|You all would have been safe.|2P pl. plup. act. subj.|Conjugation::sum
sum|fuissent|they would have been|rēs <v>fuissent</v> meliōrēs.|Things would have been better.|3P pl. plup. act. subj.|Conjugation::sum
sum|es|be!|<v>es</v> fortis!|Be brave!|2P sg. pres. act. imp.|Conjugation::sum
sum|este|be! (plural)|<v>este</v> parātī!|Be prepared!|2P pl. pres. act. imp.|Conjugation::sum
sum|estō|you shall be|<v>estō</v> bonus.|You shall be good.|2P sg. fut. act. imp.|Conjugation::sum
sum|estō|he/she/it shall be|<v>estō</v> fēlīx.|Let him/her/it be happy.|3P sg. fut. act. imp.|Conjugation::sum
sum|estōte|you all shall be|<v>estōte</v> fortēs.|You all shall be brave.|2P pl. fut. act. imp.|Conjugation::sum
sum|suntō|they shall be|<v>suntō</v> parātī.|Let them be prepared.|3P pl. fut. act. imp.|Conjugation::sum
sum|esse|to be|bonum <v>esse</v> oportet.|It is necessary to be good.|__ __ pres. act. inf.|Conjugation::sum
sum|fuisse|to have been|dīcit sē <v>fuisse</v> consulem.|He says that he had been consul.|__ __ perf. act. inf.|Conjugation::sum
sum|futūrus esse|to be about to be|spērat sē <v>futūrum esse</v> victōrem.|He hopes that he will be the victor.|__ __ fut. act. inf.|Conjugation::sum
sum|futūrus|about to be|<v>futūrus</v> rēx parātur.|The future king is prepared.|__ __ __ act. part.|Conjugation::sum

eō|eō|I go|<v>eō</v> ad forum|I go to the forum|1P sg. pres. act. ind.|Conjugation::eō
eō|īs|you go|<v>īs</v> ad templum|you go to the temple|2P sg. pres. act. ind.|Conjugation::eō
eō|it|he/she/it goes|puer <v>it</v> ad scholam|the boy goes to school|3P sg. pres. act. ind.|Conjugation::eō
eō|īmus|we go|<v>īmus</v> per viam|we go along the road|1P pl. pres. act. ind.|Conjugation::eō
eō|ītis|you all go|<v>ītis</v> ad theatrum|you all go to the theater|2P pl. pres. act. ind.|Conjugation::eō
eō|eunt|they go|servī <v>eunt</v> domum|the slaves go home|3P pl. pres. act. ind.|Conjugation::eō
eō|ībam|I was going|<v>ībam</v> ad villam|I was going to the villa|1P sg. impf. act. ind.|Conjugation::eō
eō|ībās|you were going|<v>ībās</v> per silvam|you were going through the forest|2P sg. impf. act. ind.|Conjugation::eō
eō|ībat|he/she/it was going|puer <v>ībat</v> ad ludum|the boy was going to school|3P sg. impf. act. ind.|Conjugation::eō
eō|ībāmus|we were going|<v>ībāmus</v> Rōmam|we were going to Rome|1P pl. impf. act. ind.|Conjugation::eō
eō|ībātis|you all were going|<v>ībātis</v> ad forum|you all were going to the forum|2P pl. impf. act. ind.|Conjugation::eō
eō|ībant|they were going|mīlitēs <v>ībant</v> in bellum|the soldiers were going to war|3P pl. impf. act. ind.|Conjugation::eō
eō|ībō|I will go|crās <v>ībō</v> ad templum|tomorrow I will go to the temple|1P sg. fut. act. ind.|Conjugation::eō
eō|ībis|you will go|<v>ībis</v> ad theātrum|you will go to the theater|2P sg. fut. act. ind.|Conjugation::eō
eō|ībit|he/she/it will go|nauta <v>ībit</v> ad mare|the sailor will go to the sea|3P sg. fut. act. ind.|Conjugation::eō
eō|ībimus|we will go|<v>ībimus</v> in forum|we will go into the forum|1P pl. fut. act. ind.|Conjugation::eō
eō|ībitis|you all will go|<v>ībitis</v> ad cēnam|you all will go to dinner|2P pl. fut. act. ind.|Conjugation::eō
eō|ībunt|they will go|servī <v>ībunt</v> in agrōs|the slaves will go to the fields|3P pl. fut. act. ind.|Conjugation::eō
eō|īvī|I went|herī <v>īvī</v> ad forum|yesterday I went to the forum|1P sg. perf. act. ind.|Conjugation::eō
eō|īvistī|you went|<v>īvistī</v> ad templum|you went to the temple|2P sg. perf. act. ind.|Conjugation::eō
eō|īvit|he/she/it went|puer <v>īvit</v> domum|the boy went home|3P sg. perf. act. ind.|Conjugation::eō
eō|īvimus|we went|<v>īvimus</v> per urbem|we went through the city|1P pl. perf. act. ind.|Conjugation::eō
eō|īvistis|you all went|<v>īvistis</v> ad ludōs|you all went to the games|2P pl. perf. act. ind.|Conjugation::eō
eō|īvērunt|they went|mīlitēs <v>īvērunt</v> in castra|the soldiers went to camp|3P pl. perf. act. ind.|Conjugation::eō
eō|īveram|I had gone|iam <v>īveram</v> domum|I had already gone home|1P sg. plup. act. ind.|Conjugation::eō
eō|īverās|you had gone|<v>īverās</v> ad forum|you had gone to the forum|2P sg. plup. act. ind.|Conjugation::eō
eō|īverat|he/she/it had gone|puer <v>īverat</v> ad scholam|the boy had gone to school|3P sg. plup. act. ind.|Conjugation::eō
eō|īverāmus|we had gone|<v>īverāmus</v> Rōmam|we had gone to Rome|1P pl. plup. act. ind.|Conjugation::eō
eō|īverātis|you all had gone|<v>īverātis</v> ad templum|you all had gone to the temple|2P pl. plup. act. ind.|Conjugation::eō
eō|īverant|they had gone|servī <v>īverant</v> in agrōs|the slaves had gone to the fields|3P pl. plup. act. ind.|Conjugation::eō
eō|īverō|I will have gone|crās <v>īverō</v> domum|tomorrow I will have gone home|1P sg. futperf. act. ind.|Conjugation::eō
eō|īveris|you will have gone|<v>īveris</v> ad forum|you will have gone to the forum|2P sg. futperf. act. ind.|Conjugation::eō
eō|īverit|he/she/it will have gone|puer <v>īverit</v> ad ludum|the boy will have gone to school|3P sg. futperf. act. ind.|Conjugation::eō
eō|īverimus|we will have gone|<v>īverimus</v> Rōmam|we will have gone to Rome|1P pl. futperf. act. ind.|Conjugation::eō
eō|īveritis|you all will have gone|<v>īveritis</v> ad templum|you all will have gone to the temple|2P pl. futperf. act. ind.|Conjugation::eō
eō|īverint|they will have gone|mīlitēs <v>īverint</v> in bellum|the soldiers will have gone to war|3P pl. futperf. act. ind.|Conjugation::eō
eō|eam|I may go|utinam <v>eam</v> domum|if only I may go home|1P sg. pres. act. subj.|Conjugation::eō
eō|eās|you may go|utinam <v>eās</v> mēcum|if only you may go with me|2P sg. pres. act. subj.|Conjugation::eō
eō|eat|he/she/it may go|utinam puer <v>eat</v> ad scholam|if only the boy may go to school|3P sg. pres. act. subj.|Conjugation::eō
eō|eāmus|we may go|utinam <v>eāmus</v> simul|if only we may go together|1P pl. pres. act. subj.|Conjugation::eō
eō|eātis|you all may go|utinam <v>eātis</v> ad forum|if only you all may go to the forum|2P pl. pres. act. subj.|Conjugation::eō
eō|eant|they may go|utinam servī <v>eant</v> domum|if only the slaves may go home|3P pl. pres. act. subj.|Conjugation::eō
eō|īrem|I might go|sī <v>īrem</v> domum|if I might go home|1P sg. impf. act. subj.|Conjugation::eō
eō|īrēs|you might go|sī <v>īrēs</v> mēcum|if you might go with me|2P sg. impf. act. subj.|Conjugation::eō
eō|īret|he/she/it might go|sī puer <v>īret</v> ad scholam|if the boy might go to school|3P sg. impf. act. subj.|Conjugation::eō
eō|īrēmus|we might go|sī <v>īrēmus</v> simul|if we might go together|1P pl. impf. act. subj.|Conjugation::eō
eō|īrētis|you all might go|sī <v>īrētis</v> ad forum|if you all might go to the forum|2P pl. impf. act. subj.|Conjugation::eō
eō|īrent|they might go|sī servī <v>īrent</v> domum|if the slaves might go home|3P pl. impf. act. subj.|Conjugation::eō
eō|īverim|I may have gone|forsitan <v>īverim</v> domum|perhaps I may have gone home|1P sg. perf. act. subj.|Conjugation::eō
eō|īverīs|you may have gone|forsitan <v>īverīs</v> ad forum|perhaps you may have gone to the forum|2P sg. perf. act. subj.|Conjugation::eō
eō|īverit|he/she/it may have gone|forsitan puer <v>īverit</v> ad scholam|perhaps the boy may have gone to school|3P sg. perf. act. subj.|Conjugation::eō
eō|īverīmus|we may have gone|forsitan <v>īverīmus</v> Rōmam|perhaps we may have gone to Rome|1P pl. perf. act. subj.|Conjugation::eō
eō|īverītis|you all may have gone|forsitan <v>īverītis</v> ad templum|perhaps you all may have gone to the temple|2P pl. perf. act. subj.|Conjugation::eō
eō|īverint|they may have gone|forsitan servī <v>īverint</v> in agrōs|perhaps the slaves may have gone to the fields|3P pl. perf. act. subj.|Conjugation::eō
eō|īvissem|I would have gone|sī potuissem, <v>īvissem</v> domum|if I had been able, I would have gone home|1P sg. plup. act. subj.|Conjugation::eō
eō|īvissēs|you would have gone|sī potuissēs, <v>īvissēs</v> mēcum|if you had been able, you would have gone with me|2P sg. plup. act. subj.|Conjugation::eō
eō|īvisset|he/she/it would have gone|sī potuisset, puer <v>īvisset</v> ad scholam|if he had been able, the boy would have gone to school|3P sg. plup. act. subj.|Conjugation::eō
eō|īvissēmus|we would have gone|sī potuissēmus, <v>īvissēmus</v> Rōmam|if we had been able, we would have gone to Rome|1P pl. plup. act. subj.|Conjugation::eō
eō|īvissētis|you all would have gone|sī potuissētis, <v>īvissētis</v> ad templum|if you had been able, you all would have gone to the temple|2P pl. plup. act. subj.|Conjugation::eō
eō|īvissent|they would have gone|sī potuissent, servī <v>īvissent</v> in agrōs|if they had been able, the slaves would have gone to the fields|3P pl. plup. act. subj.|Conjugation::eō
eō|ī|go!|<v>ī</v> domum!|go home!|2P sg. pres. act. imp.|Conjugation::eō
eō|īte|go! (plural)|<v>īte</v> ad forum!|go to the forum! (plural)|2P pl. pres. act. imp.|Conjugation::eō
eō|ītō|you shall go|<v>ītō</v> ad templum|you shall go to the temple|2P sg. fut. act. imp.|Conjugation::eō
eō|ītō|he/she/it shall go|puer <v>ītō</v> ad scholam|the boy shall go to school|3P sg. fut. act. imp.|Conjugation::eō
eō|ītōte|you all shall go|<v>ītōte</v> ad forum|you all shall go to the forum|2P pl. fut. act. imp.|Conjugation::eō
eō|euntō|they shall go|servī <v>euntō</v> domum|the slaves shall go home|3P pl. fut. act. imp.|Conjugation::eō
eō|īre|to go|volō <v>īre</v> domum|I want to go home|__ __ pres. act. inf.|Conjugation::eō
eō|īvisse|to have gone|dīcit sē <v>īvisse</v> Rōmam|he says that he has gone to Rome|__ __ perf. act. inf.|Conjugation::eō
eō|itūrus esse|to be about to go|spērō mē <v>itūrum esse</v> crās|I hope to be about to go tomorrow|__ __ fut. act. inf.|Conjugation::eō
eō|iēns|going|puer <v>iēns</v> ad scholam|the boy going to school|__ __ pres. act. part.|Conjugation::eō
eō|itūrus|about to go|<v>itūrus</v> ad forum sum|I am about to go to the forum|__ __ fut. act. part.|Conjugation::eō
eō|eundī|of going|tempus <v>eundī</v> est|it is time for going|__ __ __ __ gerund.|Conjugation::eō
eō|itum|to go (supine)|facile <v>itū</v>|easy to go|__ __ __ __ supine.|Conjugation::eō

amō|amō|I love|<v>amō</v> puellam.|I love the girl.|1P sg. pres. act. ind.|Conjugation::amō
amō|amās|you love|<v>amās</v> patriam.|You love the homeland.|2P sg. pres. act. ind.|Conjugation::amō
amō|amat|he/she/it loves|puer <v>amat</v> canem.|The boy loves the dog.|3P sg. pres. act. ind.|Conjugation::amō
amō|amāmus|we love|<v>amāmus</v> Rōmam.|We love Rome.|1P pl. pres. act. ind.|Conjugation::amō
amō|amātis|you all love|<v>amātis</v> deōs.|You all love the gods.|2P pl. pres. act. ind.|Conjugation::amō
amō|amant|they love|virī <v>amant</v> lībertātem.|The men love freedom.|3P pl. pres. act. ind.|Conjugation::amō
amō|amor|I am loved|<v>amor</v> ab omnibus.|I am loved by everyone.|1P sg. pres. pass. ind.|Conjugation::amō
amō|amāris|you are loved|<v>amāris</v> ā familiā.|You are loved by the family.|2P sg. pres. pass. ind.|Conjugation::amō
amō|amātur|he/she/it is loved|puer <v>amātur</v> ā mātre.|The boy is loved by his mother.|3P sg. pres. pass. ind.|Conjugation::amō
amō|amāmur|we are loved|<v>amāmur</v> ā cīvibus.|We are loved by the citizens.|1P pl. pres. pass. ind.|Conjugation::amō
amō|amāminī|you all are loved|<v>amāminī</v> ā magistrō.|You all are loved by the teacher.|2P pl. pres. pass. ind.|Conjugation::amō
amō|amantur|they are loved|mīlitēs <v>amantur</v> ā populo.|The soldiers are loved by the people.|3P pl. pres. pass. ind.|Conjugation::amō
amō|amābam|I was loving|<v>amābam</v> vītam.|I was loving life.|1P sg. impf. act. ind.|Conjugation::amō
amō|amābās|you were loving|<v>amābās</v> lūdum.|You were loving the game.|2P sg. impf. act. ind.|Conjugation::amō
amō|amābat|he/she/it was loving|poēta <v>amābat</v> carmina.|The poet was loving the songs.|3P sg. impf. act. ind.|Conjugation::amō
amō|amābāmus|we were loving|<v>amābāmus</v> pācem.|We were loving peace.|1P pl. impf. act. ind.|Conjugation::amō
amō|amābātis|you all were loving|<v>amābātis</v> sapientiam.|You all were loving wisdom.|2P pl. impf. act. ind.|Conjugation::amō
amō|amābant|they were loving|puellae <v>amābant</v> flōrēs.|The girls were loving the flowers.|3P pl. impf. act. ind.|Conjugation::amō
amō|amābar|I was being loved|<v>amābar</v> ā sociīs.|I was being loved by allies.|1P sg. impf. pass. ind.|Conjugation::amō
amō|amābāris|you were being loved|<v>amābāris</v> ā parentibus.|You were being loved by parents.|2P sg. impf. pass. ind.|Conjugation::amō
amō|amābātur|he/she/it was being loved|rēx <v>amābātur</v> ā plēbe.|The king was being loved by the common people.|3P sg. impf. pass. ind.|Conjugation::amō
amō|amābāmur|we were being loved|<v>amābāmur</v> ā deīs.|We were being loved by the gods.|1P pl. impf. pass. ind.|Conjugation::amō
amō|amābāminī|you all were being loved|<v>amābāminī</v> ā senātū.|You all were being loved by the senate.|2P pl. impf. pass. ind.|Conjugation::amō
amō|amābantur|they were being loved|servī <v>amābantur</v> ā dominō.|The slaves were being loved by the master.|3P pl. impf. pass. ind.|Conjugation::amō
amō|amābō|I will love|<v>amābō</v> tē semper.|I will love you always.|1P sg. fut. act. ind.|Conjugation::amō
amō|amābis|you will love|<v>amābis</v> patriam tuam.|You will love your country.|2P sg. fut. act. ind.|Conjugation::amō
amō|amābit|he/she/it will love|puer <v>amābit</v> scholam.|The boy will love school.|3P sg. fut. act. ind.|Conjugation::amō
amō|amābimus|we will love|<v>amābimus</v> vēritātem.|We will love truth.|1P pl. fut. act. ind.|Conjugation::amō
amō|amābitis|you all will love|<v>amābitis</v> virtūtem.|You all will love virtue.|2P pl. fut. act. ind.|Conjugation::amō
amō|amābunt|they will love|cīvēs <v>amābunt</v> pācem.|The citizens will love peace.|3P pl. fut. act. ind.|Conjugation::amō
amō|amābor|I will be loved|<v>amābor</v> ā posterīs.|I will be loved by posterity.|1P sg. fut. pass. ind.|Conjugation::amō
amō|amāberis|you will be loved|<v>amāberis</v> ā populō.|You will be loved by the people.|2P sg. fut. pass. ind.|Conjugation::amō
amō|amābitur|he/she/it will be loved|dux <v>amābitur</v> ā mīlitibus.|The leader will be loved by the soldiers.|3P sg. fut. pass. ind.|Conjugation::amō
amō|amābimur|we will be loved|<v>amābimur</v> ā sociīs.|We will be loved by allies.|1P pl. fut. pass. ind.|Conjugation::amō
amō|amābiminī|you all will be loved|<v>amābiminī</v> ā cīvibus.|You all will be loved by the citizens.|2P pl. fut. pass. ind.|Conjugation::amō
amō|amābuntur|they will be loved|bonī <v>amābuntur</v> ā deīs.|The good will be loved by the gods.|3P pl. fut. pass. ind.|Conjugation::amō
amō|amāvī|I have loved/loved|<v>amāvī</v> hanc urbem.|I have loved this city.|1P sg. perf. act. ind.|Conjugation::amō
amō|amāvistī|you have loved/loved|<v>amāvistī</v> vītam.|You have loved life.|2P sg. perf. act. ind.|Conjugation::amō
amō|amāvit|he/she/it has loved/loved|senex <v>amāvit</v> iuventūtem.|The old man has loved youth.|3P sg. perf. act. ind.|Conjugation::amō
amō|amāvimus|we have loved/loved|<v>amāvimus</v> patriam.|We have loved the homeland.|1P pl. perf. act. ind.|Conjugation::amō
amō|amāvistis|you all have loved/loved|<v>amāvistis</v> lībertātem.|You all have loved freedom.|2P pl. perf. act. ind.|Conjugation::amō
amō|amāvērunt|they have loved/loved|omnēs <v>amāvērunt</v> pācem.|Everyone has loved peace.|3P pl. perf. act. ind.|Conjugation::amō
amō|amātus sum|I have been loved|<v>amātus sum</v> ā familiā.|I have been loved by the family.|1P sg. perf. pass. ind.|Conjugation::amō
amō|amātus es|you have been loved|<v>amātus es</v> ā populō.|You have been loved by the people.|2P sg. perf. pass. ind.|Conjugation::amō
amō|amātus est|he/she/it has been loved|puer <v>amātus est</v> ā parentibus.|The boy has been loved by his parents.|3P sg. perf. pass. ind.|Conjugation::amō
amō|amātī sumus|we have been loved|<v>amātī sumus</v> ā cīvibus.|We have been loved by the citizens.|1P pl. perf. pass. ind.|Conjugation::amō
amō|amātī estis|you all have been loved|<v>amātī estis</v> ā deīs.|You all have been loved by the gods.|2P pl. perf. pass. ind.|Conjugation::amō
amō|amātī sunt|they have been loved|bonī <v>amātī sunt</v> ā sapientibus.|The good have been loved by the wise.|3P pl. perf. pass. ind.|Conjugation::amō
amō|amāveram|I had loved|<v>amāveram</v> illam urbem.|I had loved that city.|1P sg. plup. act. ind.|Conjugation::amō
amō|amāverās|you had loved|<v>amāverās</v> patriam.|You had loved the homeland.|2P sg. plup. act. ind.|Conjugation::amō
amō|amāverat|he/she/it had loved|dux <v>amāverat</v> victōriam.|The leader had loved victory.|3P sg. plup. act. ind.|Conjugation::amō
amō|amāverāmus|we had loved|<v>amāverāmus</v> pācem.|We had loved peace.|1P pl. plup. act. ind.|Conjugation::amō
amō|amāverātis|you all had loved|<v>amāverātis</v> lībertātem.|You all had loved freedom.|2P pl. plup. act. ind.|Conjugation::amō
amō|amāverant|they had loved|cīvēs <v>amāverant</v> lēgēs.|The citizens had loved the laws.|3P pl. plup. act. ind.|Conjugation::amō
amō|amātus eram|I had been loved|<v>amātus eram</v> ā magistrō.|I had been loved by the teacher.|1P sg. plup. pass. ind.|Conjugation::amō
amō|amātus erās|you had been loved|<v>amātus erās</v> ā sociīs.|You had been loved by allies.|2P sg. plup. pass. ind.|Conjugation::amō
amō|amātus erat|he/she/it had been loved|puer <v>amātus erat</v> ā mātre.|The boy had been loved by his mother.|3P sg. plup. pass. ind.|Conjugation::amō
amō|amātī erāmus|we had been loved|<v>amātī erāmus</v> ā populō.|We had been loved by the people.|1P pl. plup. pass. ind.|Conjugation::amō
amō|amātī erātis|you all had been loved|<v>amātī erātis</v> ā cīvibus.|You all had been loved by the citizens.|2P pl. plup. pass. ind.|Conjugation::amō
amō|amātī erant|they had been loved|mīlitēs <v>amātī erant</v> ā ducibus.|The soldiers had been loved by the leaders.|3P pl. plup. pass. ind.|Conjugation::amō
amō|amāverō|I will have loved|<v>amāverō</v> vītam.|I will have loved life.|1P sg. futperf. act. ind.|Conjugation::amō
amō|amāveris|you will have loved|<v>amāveris</v> patriam.|You will have loved the homeland.|2P sg. futperf. act. ind.|Conjugation::amō
amō|amāverit|he/she/it will have loved|puer <v>amāverit</v> lūdum.|The boy will have loved the game.|3P sg. futperf. act. ind.|Conjugation::amō
amō|amāverimus|we will have loved|<v>amāverimus</v> urbem.|We will have loved the city.|1P pl. futperf. act. ind.|Conjugation::amō
amō|amāveritis|you all will have loved|<v>amāveritis</v> sapientiam.|You all will have loved wisdom.|2P pl. futperf. act. ind.|Conjugation::amō
amō|amāverint|they will have loved|cīvēs <v>amāverint</v> pācem.|The citizens will have loved peace.|3P pl. futperf. act. ind.|Conjugation::amō
amō|amātus erō|I will have been loved|<v>amātus erō</v> ā populō.|I will have been loved by the people.|1P sg. futperf. pass. ind.|Conjugation::amō
amō|amātus eris|you will have been loved|<v>amātus eris</v> ā familiā.|You will have been loved by the family.|2P sg. futperf. pass. ind.|Conjugation::amō
amō|amātus erit|he/she/it will have been loved|puer <v>amātus erit</v> ā parentibus.|The boy will have been loved by his parents.|3P sg. futperf. pass. ind.|Conjugation::amō
amō|amātī erimus|we will have been loved|<v>amātī erimus</v> ā cīvibus.|We will have been loved by the citizens.|1P pl. futperf. pass. ind.|Conjugation::amō
amō|amātī eritis|you all will have been loved|<v>amātī eritis</v> ā deīs.|You all will have been loved by the gods.|2P pl. futperf. pass. ind.|Conjugation::amō
amō|amātī erunt|they will have been loved|bonī <v>amātī erunt</v> ā sapientibus.|The good will have been loved by the wise.|3P pl. futperf. pass. ind.|Conjugation::amō
amō|amem|I may love|utinam tē <v>amem</v>.|Would that I love you.|1P sg. pres. act. subj.|Conjugation::amō
amō|amēs|you may love|utinam patriam <v>amēs</v>.|Would that you love the homeland.|2P sg. pres. act. subj.|Conjugation::amō
amō|amet|he/she/it may love|utinam puer scholam <v>amet</v>.|Would that the boy love school.|3P sg. pres. act. subj.|Conjugation::amō
amō|amēmus|we may love|utinam pācem <v>amēmus</v>.|Would that we love peace.|1P pl. pres. act. subj.|Conjugation::amō
amō|amētis|you all may love|utinam virtūtem <v>amētis</v>.|Would that you all love virtue.|2P pl. pres. act. subj.|Conjugation::amō
